ReefID,Year,lat,lon,recruit_score
14-116d,1990,-0.5499970525288751,-2.9330783365653963e-6,2790.3333333333335
14-116d,1994,-0.5499970525288751,-2.9330783365653963e-6,711.65
16-046,1986,-0.5499970525288751,-2.9330783365653963e-6,258.35
16-046,1987,-0.5499970525288751,-2.9330783365653963e-6,276.375
16-049,1986,-0.5499970525288751,-2.9330783365653963e-6,733.3499999999999
16-049,1987,-0.5499970525288751,-2.9330783365653963e-6,551.4
16-049,1990,-0.5499970525288751,-2.9330783365653963e-6,2422.2
16-054a,2002,-0.5499970525288751,-2.9330783365653963e-6,623.8
16-054a,2003,-0.5499970525288751,-2.9330783365653963e-6,145.55
16-054a,2005,-0.5499970525288751,-2.9330783365653963e-6,2323.25
16-054a,2006,-0.5499970525288751,-2.9330783365653963e-6,2293.9249999999997
16-054a,2007,-0.5499970525288751,-2.9330783365653963e-6,8848.55
16-054a,2008,-0.5499970525288751,-2.9330783365653963e-6,4952.7
16-054a,2009,-0.5499970525288751,-2.9330783365653963e-6,2623.1
16-054a,2010,-0.5499970525288751,-2.9330783365653963e-6,4386
16-060,1986,-0.5499970525288751,-2.9330783365653963e-6,166.65
16-060,1987,-0.5499970525288751,-2.9330783365653963e-6,161.1
16-085,1986,-0.5499970525288751,-2.9330783365653963e-6,1907.3999999999999
16-085,1987,-0.5499970525288751,-2.9330783365653963e-6,1750.9333333333334
18-024,1979,-0.5499970525288751,-2.9330783365653963e-6,237.5
18-032,1981,-0.5499970525288751,-2.9330783365653963e-6,1482.2
18-034,1981,-0.5499970525288751,-2.9330783365653963e-6,1142.2333333333333
18-049b,1989,-0.5499970525288751,-2.9330783365653963e-6,120.8
18-049b,1990,-0.5499970525288751,-2.9330783365653963e-6,769.5333333333333
18-049b,2007,-0.5499970525288751,-2.9330783365653963e-6,1355.8
18-049b,2008,-0.5499970525288751,-2.9330783365653963e-6,1058.6
18-049b,2009,-0.5499970525288751,-2.9330783365653963e-6,846.1
18-049b,2010,-0.5499970525288751,-2.9330783365653963e-6,1196.9333333333334
18-049b,2011,-0.5499970525288751,-2.9330783365653963e-6,336.95
18-100b,1980,-0.5499970525288751,-2.9330783365653963e-6,1333.6823529411765
18-100b,1981,-0.5499970525288751,-2.9330783365653963e-6,473.4
18-100b,1982,-0.5499970525288751,-2.9330783365653963e-6,695.3
19-010,2007,-0.5499970525288751,-2.9330783365653963e-6,1094.1
19-010,2008,-0.5499970525288751,-2.9330783365653963e-6,1134.2
19-010,2009,-0.5499970525288751,-2.9330783365653963e-6,228
19-010,2010,-0.5499970525288751,-2.9330783365653963e-6,468.8
19-019,1987,-0.5499970525288751,-2.9330783365653963e-6,256.9428571428571
20-034,2005,-0.5499970525288751,-2.9330783365653963e-6,1149.3
20-034,2006,-0.5499970525288751,-2.9330783365653963e-6,510.4
20-034,2007,-0.5499970525288751,-2.9330783365653963e-6,3627.2
20-034,2008,-0.5499970525288751,-2.9330783365653963e-6,2759.9
20-034,2009,-0.5499970525288751,-2.9330783365653963e-6,1764.3
20-034,2010,-0.5499970525288751,-2.9330783365653963e-6,701.8
20-060b,2006,-0.5499970525288751,-2.9330783365653963e-6,3448.05
20-060b,2007,-0.5499970525288751,-2.9330783365653963e-6,1883.9
20-060b,2008,-0.5499970525288751,-2.9330783365653963e-6,2986.8
20-060b,2009,-0.5499970525288751,-2.9330783365653963e-6,1621.6
20-060b,2010,-0.5499970525288751,-2.9330783365653963e-6,216.6
